timestamp,dataset,algorithm,spark_version,features,partitions,lambda,max_iterations,actual_iterations,runtime_sec,accuracy_percent,model_norm,non_zero_weights,total_weights,non_zero_percent,convergence_status,train_file,test_file
2025-07-13T04:19:49.490,rcv1,admm,2_4,47236,8,0.01,50,17,159.122,92.12,2.521688,39371,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:36:58.716,rcv1,admm,2_4,47236,10,0.01,50,14,140.039,92.08,2.057953,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:40:33.293,rcv1,admm,2_4,47236,15,0.01,50,21,189.11,92.34,5.210232,39377,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:31:04.356,rcv1,admm,2_4,47236,5,0.01,50,21,266.936,92.15,2.84813,39372,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:34:07.089,rcv1,admm,2_4,47236,8,0.01,50,17,159.475,92.12,2.521681,39372,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:51:54.445,rcv1,admm,2_4,47236,10,0.01,50,14,144.07,92.08,2.057958,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:55:33.502,rcv1,admm,2_4,47236,15,0.01,50,21,193.284,92.34,5.210254,39377,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:45:42.032,rcv1,admm,2_4,47236,5,0.01,50,21,277.922,92.15,2.848137,39371,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:48:58.048,rcv1,admm,2_4,47236,8,0.01,50,17,166.836,92.12,2.521684,39370,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:06:44.051,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.044,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:10:27.669,rcv1,lbfgs,2_4,47236,15,0.01,100,100,8.997,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:00:44.041,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.409,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:03:54.469,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.274,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:21:57.139,rcv1,lbfgs,2_4,47236,10,0.01,100,100,9.281,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:25:41.503,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.45,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:15:47.489,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.706,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:19:02.641,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.01,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:37:04.778,rcv1,lbfgs,2_4,47236,10,0.01,100,100,9.38,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:40:46.714,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.626,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:30:48.846,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.945,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:34:09.038,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.667,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:51:46.644,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.67,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:55:38.793,rcv1,lbfgs,2_4,47236,15,0.01,100,100,10.026,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:45:42.150,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.884,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T05:48:52.664,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.429,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:06:48.264,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.711,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:10:31.811,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.642,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:00:40.739,rcv1,lbfgs,2_4,47236,5,0.01,100,100,6.004,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:03:53.142,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.627,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:21:43.790,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.622,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:25:25.112,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.516,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:15:27.846,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.87,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:18:50.355,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.467,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:36:15.120,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.97,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:39:55.875,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.62,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:30:16.702,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.95,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:33:23.574,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.375,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:50:53.339,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.569,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:54:31.971,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.525,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:44:53.150,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.903,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:47:59.893,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.366,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:05:34.629,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.903,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:09:14.125,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.677,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T06:59:28.835,rcv1,lbfgs,2_4,47236,5,0.01,100,100,6.115,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:02:39.189,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.599,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:20:05.278,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.56,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:23:42.304,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.611,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:14:04.399,rcv1,lbfgs,2_4,47236,5,0.01,100,100,6.011,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:17:16.857,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.512,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:34:13.646,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.7,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:37:48.081,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.601,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:28:30.618,rcv1,lbfgs,2_4,47236,5,0.01,100,100,6.009,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
